订单号,订单日期,品类,商品名称,数量,单价,销售额,成本,利润,地区,渠道,客户类型
SO-20251108-0679,2025-11-08 20:00:00,美妆个护,保湿精华,2,359,718,401.58,316.42,华南,小程序,会员
SO-20251108-0680,2025-11-08 22:00:00,食品饮料,进口红酒,4,268,1072,676.25,395.75,华南,直播带货,新客
SO-20251108-0681,2025-11-08 23:00:00,电子产品,无线蓝牙耳机,3,299,897,590.8,306.2,华中,小程序,会员
SO-20251109-0682,2025-11-09 07:00:00,电子产品,无线蓝牙耳机,3,299,897,734.95,162.05,华中,小程序,老客
SO-20251111-0683,2025-11-11 00:00:00,家居日用,水洗棉四件套,1,329,329,238.55,90.45,华北,直播带货,新客
SO-20251111-0684,2025-11-11 06:00:00,家居日用,收纳箱,4,45,180,120.31,59.69,华北,线下门店,会员
SO-20251112-0685,2025-11-12 02:00:00,服装鞋帽,轻薄羽绒服,2,899,1798,1221.85,576.15,华中,直播带货,新客
SO-20251112-0686,2025-11-12 09:00:00,美妆个护,氨基酸洗面奶,1,89,89,52.39,36.61,西南,直播带货,新客
SO-20251112-0687,2025-11-12 16:00:00,服装鞋帽,轻薄羽绒服,2,899,1798,1110.68,687.32,华北,线上商城,新客
SO-20251114-0688,2025-11-14 00:00:00,食品饮料,精品咖啡豆,1,108,108,61.5,46.5,东北,线下门店,新客
SO-20251114-0689,2025-11-14 07:00:00,电子产品,便携充电宝,5,129,645,464.28,180.72,东北,小程序,老客
SO-20251114-0690,2025-11-14 07:00:00,电子产品,机械键盘,2,499,998,648.15,349.85,西南,直播带货,新客
SO-20251115-0691,2025-11-15 10:00:00,电子产品,智能手表,3,1299,3897,2234.22,1662.78,东北,小程序,会员
SO-20251116-0692,2025-11-16 02:00:00,电子产品,无线蓝牙耳机,2,299,598,374.63,223.37,华东,小程序,新客
SO-20251116-0693,2025-11-16 15:00:00,服装鞋帽,运动鞋,1,399,399,325.77,73.23,华北,线下门店,新客
SO-20251117-0694,2025-11-17 06:00:00,美妆个护,淡香水,2,499,998,807.47,190.53,华北,线上商城,老客
SO-20251118-0695,2025-11-18 17:00:00,服装鞋帽,牛仔裤,4,259,1036,809.35,226.65,华东,线下门店,会员
SO-20251119-0696,2025-11-19 05:00:00,服装鞋帽,轻薄羽绒服,1,899,899,679.06,219.94,华南,小程序,会员
SO-20251119-0697,2025-11-19 12:00:00,美妆个护,淡香水,5,499,2495,1723.99,771.01,东北,小程序,老客
SO-20251119-0698,2025-11-19 12:00:00,美妆个护,保湿精华,4,359,1436,981.92,454.08,华东,线上商城,新客
SO-20251119-0699,2025-11-19 17:00:00,电子产品,无线蓝牙耳机,2,299,598,443.47,154.53,华北,线上商城,老客
SO-20251120-0700,2025-11-20 11:00:00,家居日用,落地灯,4,199,796,518.11,277.89,华东,小程序,会员
SO-20251120-0701,2025-11-20 13:00:00,食品饮料,有机牛奶,3,59,177,135.37,41.63,华北,线上商城,老客
SO-20251120-0702,2025-11-20 20:00:00,服装鞋帽,牛仔裤,2,259,518,358.68,159.32,华北,线上商城,会员
SO-20251120-0703,2025-11-20 21:00:00,美妆个护,淡香水,3,499,1497,1166.42,330.58,西南,小程序,新客
SO-20251121-0704,2025-11-21 02:00:00,电子产品,机械键盘,1,499,499,379.18,119.82,华南,小程序,新客
SO-20251121-0705,2025-11-21 20:00:00,美妆个护,口红,1,219,219,155.56,63.44,华南,线上商城,会员
SO-20251121-0706,2025-11-21 22:00:00,家居日用,水洗棉四件套,5,329,1645,1113.48,531.52,华中,直播带货,会员
SO-20251122-0707,2025-11-22 12:00:00,服装鞋帽,纯棉T恤,1,79,79,57.44,21.56,华南,小程序,新客
SO-20251122-0708,2025-11-22 23:00:00,食品饮料,有机牛奶,4,59,236,130.5,105.5,西南,线上商城,老客
SO-20251123-0709,2025-11-23 02:00:00,美妆个护,淡香水,2,499,998,688.71,309.29,华北,直播带货,新客
SO-20251124-0710,2025-11-24 13:00:00,美妆个护,口红,3,219,657,387.97,269.03,华南,线下门店,老客
SO-20251124-0711,2025-11-24 17:00:00,电子产品,智能手表,1,1299,1299,937.35,361.65,华北,线上商城,会员
SO-20251124-0712,2025-11-24 21:00:00,服装鞋帽,纯棉T恤,3,79,237,146.56,90.44,华北,小程序,老客
SO-20251126-0713,2025-11-26 08:00:00,服装鞋帽,牛仔裤,1,259,259,143.88,115.12,华东,线下门店,新客
SO-20251126-0714,2025-11-26 10:00:00,电子产品,无线蓝牙耳机,3,299,897,603.73,293.27,华中,线上商城,会员
SO-20251126-0715,2025-11-26 22:00:00,食品饮料,精品咖啡豆,4,108,432,338.56,93.44,东北,线下门店,老客
SO-20251127-0716,2025-11-27 15:00:00,家居日用,香薰蜡烛,1,69,69,56.03,12.97,华南,小程序,会员
SO-20251128-0717,2025-11-28 03:00:00,食品饮料,进口红酒,3,268,804,632.79,171.21,华中,线下门店,老客
SO-20251128-0718,2025-11-28 06:00:00,电子产品,机械键盘,2,499,998,765.2,232.8,西南,直播带货,老客
SO-20251128-0719,2025-11-28 15:00:00,服装鞋帽,牛仔裤,2,259,518,382.76,135.24,华北,直播带货,会员
SO-20251128-0720,2025-11-28 19:00:00,食品饮料,坚果礼盒,5,158,790,547.45,242.55,东北,小程序,新客
SO-20251128-0721,2025-11-28 22:00:00,电子产品,无线蓝牙耳机,5,299,1495,1087.15,407.85,华东,线上商城,新客
SO-20251129-0722,2025-11-29 19:00:00,美妆个护,口红,3,219,657,522.74,134.26,华中,直播带货,新客
SO-20251130-0723,2025-11-30 01:00:00,服装鞋帽,运动鞋,5,399,1995,1310.85,684.15,华北,小程序,新客
SO-20251130-0724,2025-11-30 03:00:00,美妆个护,保湿精华,3,359,1077,861.0,216.0,华南,线下门店,会员
SO-20251130-0725,2025-11-30 07:00:00,家居日用,收纳箱,3,45,135,81.82,53.18,西南,小程序,会员
SO-20251130-0726,2025-11-30 09:00:00,电子产品,无线蓝牙耳机,3,299,897,618.78,278.22,华南,直播带货,会员
SO-20251130-0727,2025-11-30 20:00:00,美妆个护,口红,1,219,219,133.85,85.15,西南,线下门店,新客
SO-20251201-0728,2025-12-01 02:00:00,电子产品,智能手表,3,1299,3897,2666.2,1230.8,华北,线上商城,新客
SO-20251201-0729,2025-12-01 14:00:00,美妆个护,保湿精华,2,359,718,568.16,149.84,华北,线下门店,新客
SO-20251201-0730,2025-12-01 15:00:00,服装鞋帽,纯棉T恤,1,79,79,50.31,28.69,东北,小程序,新客
SO-20251202-0731,2025-12-02 06:00:00,服装鞋帽,牛仔裤,2,259,518,307.58,210.42,华南,线下门店,新客
SO-20251202-0732,2025-12-02 07:00:00,食品饮料,精品咖啡豆,5,108,540,393.99,146.01,华中,线下门店,新客
SO-20251202-0733,2025-12-02 23:00:00,服装鞋帽,牛仔裤,3,259,777,493.86,283.14,华东,直播带货,老客
SO-20251203-0734,2025-12-03 06:00:00,美妆个护,淡香水,2,499,998,797.85,200.15,西南,线下门店,新客
SO-20251203-0735,2025-12-03 06:00:00,电子产品,无线蓝牙耳机,5,299,1495,929.1,565.9,东北,线下门店,新客
SO-20251203-0736,2025-12-03 09:00:00,家居日用,落地灯,3,199,597,407.9,189.1,西南,直播带货,会员
SO-20251203-0737,2025-12-03 20:00:00,食品饮料,精品咖啡豆,3,108,324,227.87,96.13,西南,小程序,会员
SO-20251204-0738,2025-12-04 21:00:00,电子产品,机械键盘,3,499,1497,904.73,592.27,西南,线下门店,老客
SO-20251206-0739,2025-12-06 10:00:00,服装鞋帽,运动鞋,4,399,1596,1167.32,428.68,东北,小程序,老客
SO-20251206-0740,2025-12-06 11:00:00,家居日用,水洗棉四件套,5,329,1645,1293.51,351.49,华东,线上商城,会员
SO-20251206-0741,2025-12-06 14:00:00,家居日用,落地灯,2,199,398,224.12,173.88,华北,直播带货,会员
SO-20251206-0742,2025-12-06 23:00:00,电子产品,便携充电宝,3,129,387,267.42,119.58,华南,直播带货,新客
SO-20251207-0743,2025-12-07 02:00:00,美妆个护,氨基酸洗面奶,2,89,178,100.31,77.69,华北,线上商城,会员
SO-20251208-0744,2025-12-08 22:00:00,服装鞋帽,运动鞋,1,399,399,245.41,153.59,华东,线上商城,新客
SO-20251209-0745,2025-12-09 10:00:00,电子产品,无线蓝牙耳机,5,299,1495,1070.02,424.98,西南,直播带货,老客
SO-20251209-0746,2025-12-09 13:00:00,电子产品,机械键盘,1,499,499,372.58,126.42,东北,直播带货,新客
SO-20251209-0747,2025-12-09 15:00:00,美妆个护,氨基酸洗面奶,4,89,356,228.93,127.07,东北,小程序,老客
SO-20251209-0748,2025-12-09 21:00:00,家居日用,落地灯,3,199,597,394.11,202.89,华东,线下门店,会员
SO-20251211-0749,2025-12-11 11:00:00,电子产品,机械键盘,5,499,2495,1393.91,1101.09,华北,线下门店,会员
SO-20251211-0750,2025-12-11 17:00:00,家居日用,水洗棉四件套,2,329,658,522.82,135.18,西南,线上商城,会员
SO-20251211-0751,2025-12-11 19:00:00,美妆个护,口红,3,219,657,403.01,253.99,华东,线上商城,老客
SO-20251212-0752,2025-12-12 13:00:00,家居日用,落地灯,4,199,796,572.07,223.93,西南,线上商城,老客
SO-20251213-0753,2025-12-13 01:00:00,美妆个护,氨基酸洗面奶,4,89,356,204.6,151.4,西南,直播带货,老客
SO-20251213-0754,2025-12-13 16:00:00,食品饮料,精品咖啡豆,4,108,432,324.91,107.09,华北,线下门店,老客
SO-20251214-0755,2025-12-14 07:00:00,美妆个护,淡香水,2,499,998,586.67,411.33,东北,线下门店,新客
SO-20251214-0756,2025-12-14 13:00:00,服装鞋帽,纯棉T恤,1,79,79,53.73,25.27,东北,线下门店,新客
SO-20251216-0757,2025-12-16 20:00:00,服装鞋帽,纯棉T恤,1,79,79,53.74,25.26,华北,线下门店,新客
SO-20251217-0758,2025-12-17 06:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2329.09,1266.91,华东,直播带货,新客
SO-20251218-0759,2025-12-18 13:00:00,食品饮料,进口红酒,2,268,536,407.97,128.03,华北,线下门店,新客
SO-20251219-0760,2025-12-19 09:00:00,服装鞋帽,轻薄羽绒服,2,899,1798,1456.68,341.32,华中,线下门店,会员
SO-20251219-0761,2025-12-19 16:00:00,服装鞋帽,运动鞋,1,399,399,300.93,98.07,东北,直播带货,会员
SO-20251219-0762,2025-12-19 22:00:00,电子产品,机械键盘,3,499,1497,1031.19,465.81,东北,线下门店,老客
SO-20251220-0763,2025-12-20 09:00:00,美妆个护,保湿精华,1,359,359,275.09,83.91,东北,线上商城,会员
SO-20251220-0764,2025-12-20 23:00:00,美妆个护,口红,4,219,876,667.4,208.6,华北,线下门店,老客
SO-20251221-0765,2025-12-21 03:00:00,家居日用,落地灯,3,199,597,380.05,216.95,华北,线上商城,老客
SO-20251221-0766,2025-12-21 08:00:00,食品饮料,坚果礼盒,2,158,316,206.28,109.72,华中,直播带货,会员
SO-20251221-0767,2025-12-21 13:00:00,服装鞋帽,运动鞋,1,399,399,279.03,119.97,华北,直播带货,会员
SO-20251221-0768,2025-12-21 18:00:00,食品饮料,进口红酒,5,268,1340,826.46,513.54,华南,线上商城,会员
SO-20251222-0769,2025-12-22 11:00:00,美妆个护,氨基酸洗面奶,3,89,267,216.86,50.14,华南,线下门店,老客
SO-20251222-0770,2025-12-22 13:00:00,家居日用,收纳箱,1,45,45,36.36,8.64,东北,线下门店,会员
SO-20251223-0771,2025-12-23 02:00:00,美妆个护,口红,2,219,438,264.8,173.2,华南,直播带货,老客
SO-20251224-0772,2025-12-24 06:00:00,美妆个护,口红,1,219,219,136.77,82.23,华北,线下门店,新客
SO-20251224-0773,2025-12-24 10:00:00,电子产品,无线蓝牙耳机,5,299,1495,861.84,633.16,西南,线下门店,老客
SO-20251224-0774,2025-12-24 16:00:00,食品饮料,精品咖啡豆,4,108,432,291.01,140.99,华北,小程序,老客
SO-20251225-0775,2025-12-25 01:00:00,服装鞋帽,牛仔裤,5,259,1295,727.06,567.94,华北,直播带货,会员
SO-20251225-0776,2025-12-25 04:00:00,家居日用,水洗棉四件套,3,329,987,667.84,319.16,华北,线下门店,新客
SO-20251225-0777,2025-12-25 12:00:00,食品饮料,坚果礼盒,4,158,632,512.16,119.84,东北,线上商城,新客
SO-20251225-0778,2025-12-25 16:00:00,服装鞋帽,轻薄羽绒服,1,899,899,600.45,298.55,华南,直播带货,老客
SO-20251225-0779,2025-12-25 23:00:00,电子产品,便携充电宝,1,129,129,100.87,28.13,东北,线上商城,新客
SO-20251226-0780,2025-12-26 07:00:00,家居日用,香薰蜡烛,2,69,138,87.75,50.25,西南,小程序,会员
SO-20251226-0781,2025-12-26 08:00:00,食品饮料,有机牛奶,1,59,59,37.04,21.96,华中,小程序,会员
SO-20251226-0782,2025-12-26 09:00:00,美妆个护,氨基酸洗面奶,5,89,445,288.19,156.81,华中,线下门店,新客
SO-20251226-0783,2025-12-26 10:00:00,美妆个护,淡香水,4,499,1996,1355.14,640.86,华中,小程序,会员
SO-20251226-0784,2025-12-26 13:00:00,服装鞋帽,牛仔裤,3,259,777,617.44,159.56,西南,线下门店,会员
SO-20251226-0785,2025-12-26 15:00:00,服装鞋帽,纯棉T恤,1,79,79,58.51,20.49,华中,小程序,会员
SO-20251226-0786,2025-12-26 17:00:00,美妆个护,口红,5,219,1095,739.72,355.28,华南,线下门店,新客
SO-20251226-0787,2025-12-26 21:00:00,美妆个护,氨基酸洗面奶,2,89,178,118.56,59.44,华北,小程序,新客
SO-20251227-0788,2025-12-27 07:00:00,服装鞋帽,牛仔裤,1,259,259,145.59,113.41,华北,小程序,新客
SO-20251228-0789,2025-12-28 10:00:00,服装鞋帽,轻薄羽绒服,1,899,899,630.85,268.15,华南,直播带货,新客
SO-20251228-0790,2025-12-28 19:00:00,服装鞋帽,轻薄羽绒服,1,899,899,556.98,342.02,华北,线上商城,老客
SO-20251229-0791,2025-12-29 08:00:00,食品饮料,进口红酒,4,268,1072,688.45,383.55,西南,线上商城,新客
SO-20251230-0792,2025-12-30 02:00:00,美妆个护,口红,2,219,438,298.41,139.59,西南,直播带货,会员
SO-20251230-0793,2025-12-30 13:00:00,食品饮料,精品咖啡豆,3,108,324,183.77,140.23,华南,线下门店,老客
SO-20251231-0794,2025-12-31 03:00:00,家居日用,香薰蜡烛,2,69,138,81.88,56.12,华东,线上商城,会员
SO-20251231-0795,2025-12-31 03:00:00,食品饮料,坚果礼盒,5,158,790,458.91,331.09,华南,线下门店,老客
SO-20251231-0796,2025-12-31 08:00:00,家居日用,香薰蜡烛,2,69,138,94.25,43.75,西南,线上商城,老客
SO-20251231-0797,2025-12-31 11:00:00,电子产品,智能手表,3,1299,3897,2345.99,1551.01,东北,线上商城,新客
SO-20251231-0798,2025-12-31 12:00:00,食品饮料,有机牛奶,3,59,177,111.51,65.49,华中,直播带货,老客
SO-20251231-0799,2025-12-31 13:00:00,食品饮料,有机牛奶,2,59,118,72.03,45.97,华中,直播带货,老客
SO-20251231-0800,2025-12-31 14:00:00,美妆个护,保湿精华,2,359,718,542.61,175.39,华东,线上商城,新客
